Rank,Team,Total Points
1,Oakton,83.0
2,Orange County,77.0
3,West Springfield,52.0
4,King`s Fork,52.0
5,Courtland,51.5
6,Riverbend,51.0
7,Westfield,48.0
8,Grayson County,45.0
9,Mountain View,45.0
10,Stafford,45.0
11,Broad Run,44.5
12,George C. Marshall,34.5
13,Tabb,33.5
14,Tallwood,32.0
15,Brooke Point,30.0
16,Woodbridge Senior,29.0
17,Jamestown,29.0
18,Monticello,28.0
19,Page,27.0
20,Riverside,27.0
21,Lightridge High School,27.0
22,Riverheads,25.5
23,Prince George,24.5
24,Colonial Forge,24.0
25,Caroline,24.0
26,Albermarle,24.0
27,Floyd E. Kellam,23.0
28,Patrick Henry,23.0
29,Herndon,23.0
30,Mecklenburg County,22.0
31,New Kent,22.0
32,Annandale,22.0
33,Potomac Senior,22.0
34,Fauquier,21.5
35,Rock Ridge,21.0
36,Freedom (South Riding,20.5
37,C.G. Woodson,19.5
38,John S Battle,19.0
39,Hickory,19.0
40,Thomas Dale,18.0
41,Holston,18.0
42,Mechanicsville,17.5
43,Lord Botetourt,17.0
44,Thomas Jefferson Science & Technology,17.0
45,Goochland,17.0
46,Washington-Liberty (Arlington,17.0
47,Lebanon,17.0
48,Turner Ashby,16.0
49,Madison County,16.0
50,Dinwiddie,16.0
51,Eastern View,15.0
52,Park View (Sterling,14.0
53,Amherst County,12.0
54,Oscar Smith,12.0
55,Clover Hill,11.0
56,Fairfax,10.5
57,Central(Woodstock,10.0
58,First Colonial,9.0
59,Radford,9.0
60,Appomattox County,8.0
61,Chancellor,8.0
62,James W. Robinson,7.0
63,South Lakes,7.0
64,Churchland,7.0
65,Rockbridge County,7.0
66,Fort Defiance,7.0
67,Chantilly,6.0
68,Stonewall Jackson,5.0
69,Yorktown,5.0
70,East Rockingham,4.0
71,Ocean Lakes,4.0
72,John I Burton,4.0
73,Wilson Memorial,4.0
74,Hidden Valley,4.0
75,Phoebus,4.0
76,Langley,4.0
77,Midlothian,4.0
78,Bayside,4.0
79,Hampton,3.0
80,Deep Run,3.0
81,Harrisonburg,3.0
82,James Madison,3.0
83,Salem (Virginia Beach,3.0
84,Heritage,3.0
85,Staunton,3.0
86,Northwood,3.0
87,Glen Allen,2.0
88,Henrico,2.0
89,Deep Creek,2.0
90,Green Run,1.0
91,Colgan,1.0
